flops 4.43 GMac params 23.53 M
Files already downloaded and verified
Files already downloaded and verified
/usr/local/miniconda3/envs/transformer/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:131: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
epoch 77 lr 0.0011098205883018242 loss 0.00033093780932947996 acc 0.9869
epoch 78 lr 0.001062250093331466 loss 0.00031405657078605146 acc 0.9865
epoch 79 lr 0.0010163452037544745 loss 0.0003049561895430088 acc 0.987
epoch 80 lr 0.0009721512221546963 loss 0.00031819150178926065 acc 0.9874
epoch 81 lr 0.0009297117626563683 loss 0.0003135213222587481 acc 0.9868
epoch 82 lr 0.0008890687078822362 loss 0.000301876545958221 acc 0.988
epoch 83 lr 0.0008502621676204664 loss 0.00029705616287887095 acc 0.988
epoch 84 lr 0.0008133304392411267 loss 0.0002950722954538651 acc 0.9871
epoch 85 lr 0.0007783099699013069 loss 0.0002980200309259817 acc 0.9873
epoch 86 lr 0.0007452353205761725 loss 0.0002958105982514098 acc 0.9871
epoch 87 lr 0.0007141391319514562 loss 0.00029059698450611905 acc 0.9867
epoch 88 lr 0.0006850520922110426 loss 0.0003156388052366674 acc 0.9867
epoch 89 lr 0.0006580029067514342 loss 0.00029813078964361923 acc 0.9867
epoch 90 lr 0.0006330182698529923 loss 0.0002880159778241068 acc 0.9873
epoch 91 lr 0.0006101228383359042 loss 0.0003033855260512792 acc 0.987
epoch 92 lr 0.0005893392072268783 loss 0.00030531362500274556 acc 0.9871
epoch 93 lr 0.0005706878874605798 loss 0.00029681069788290186 acc 0.9871
epoch 94 lr 0.0005541872856378182 loss 0.0003000764021393843 acc 0.9866
epoch 95 lr 0.0005398536858604502 loss 0.0002919201885303482 acc 0.9867
epoch 96 lr 0.0005277012336609399 loss 0.00029006011598743496 acc 0.9868
epoch 97 lr 0.0005177419220424251 loss 0.0002946528910892084 acc 0.9867
epoch 98 lr 0.0005099855796430697 loss 0.0002920184621983208 acc 0.9867
epoch 99 lr 0.0005044398610363888 loss 0.0002845321646053344 acc 0.9866
